id,lesson_id,class_id,title,department,teacher,start_date,end_date,capacity,duration_hours,days,min_price,max_price,is_active,updated_at
68d8f1f930627a564d020046,5998,360650,طراحی معماری و دکوراسیون داخلی پیشرفته,معماری,,1404-12-06,1405-03-25,3,141,شنبه ساعت 18:00 تا 21:00 | دوشنبه ساعت 18:00 تا 21:00 | چهارشنبه ساعت 18:00 تا 21:00,219000000,219000000,True,1404-12-06
690864a810f0cc8a26053b44,431213145,364007,نرم افزار Cinema 4D,هنر و سینما,حمید رضا منصف,1404-12-06,1405-04-24,2,78,چهارشنبه ساعت 15:00 تا 20:00,110000000,110000000,True,1404-12-06
6919b0dc107c329e4a0df1c3,6022,365358,غواصی در شب,صنایع دریایی,,1404-12-06,1404-12-07,4,8,چهارشنبه ساعت 09:00 تا 14:00 | پنجشنبه ساعت 09:00 تا 14:00,80000000,80000000,True,1404-12-06
6919b13d4dafe9c36e0d3783,6023,365359,ناجی,صنایع دریایی,,1404-12-06,1404-12-07,5,8,چهارشنبه ساعت 09:00 تا 14:00 | پنجشنبه ساعت 09:00 تا 14:00,80000000,80000000,True,1404-12-06
691b2282b6acf8a94f029722,4635,365532,HTML & CSS I,کودک و نوجوان,,1404-12-06,1405-03-27,10,39,چهارشنبه ساعت 17:30 تا 20:30,62700000,62700000,True,1404-12-06
691c60e2ecfe87b01d047845,431213154,365586,افترافکت (After Effects),هنر و سینما,حمید رضا منصف,1404-12-06,1405-04-24,1,78,چهارشنبه ساعت 09:00 تا 14:00,98000000,98000000,True,1404-12-06
691f0391fa8060493d067f3a,6173,365751,بلندر- پیشرفته,هنر و سینما,,1404-12-06,1405-03-18,2,70,دوشنبه ساعت 17:30 تا 20:30 | چهارشنبه ساعت 17:30 تا 20:30,117700000,117700000,True,1404-12-06
691f0e677d94f386ca03f386,6023,365759,ناجی,صنایع دریایی,,1404-12-06,1404-12-07,4,8,چهارشنبه ساعت 09:00 تا 14:00 | پنجشنبه ساعت 09:00 تا 14:00,80000000,80000000,True,1404-12-06
691f10b4a9a5b60da6099705,6022,365760,غواصی در شب,صنایع دریایی,,1404-12-06,1404-12-07,4,8,چهارشنبه ساعت 09:00 تا 14:00 | پنجشنبه ساعت 09:00 تا 14:00,80000000,80000000,True,1404-12-06
6926dad7313102edb1021a64,3264,366289,Microsoft Office Power Point 2019 Expert,فناوری اطلاعات و ارتباطات,,1404-12-06,1404-12-09,2,12,شنبه ساعت 08:00 تا 14:00 | دوشنبه ساعت 08:00 تا 14:00 | چهارشنبه ساعت 08:00 تا 14:00,12000000,12000000,True,1404-12-06
